company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
medicalfit,health,,medical trust hospital,healthcare,,0
stiltz homelifts,interiors,,stiltz,interiors,,0
imint vidhance,technology,,imint image intelligence ab,technology,,0
mogo finance,financial services,,mogo,"['financial services', 'bitcoin']",,0
humanas pflege,health,,humanas,health,,0
laboratorio la vallonea,health,,laboratorio di analisi veterinarie la vallonea,health,,0
mailup,technology,,mailtrack,technology,,0
visiconsult x-ray systems & solutions,industrial goods,,visiconsult,industrial goods,,0
imprecom,construction,,impre.do,construction,,0
seingim global service,construction,,seingim,construction,,0
sistemas informáticos de negocio (sidn),advertising,,sistemas informáticos de negocio,advertising,,0
carreau sol,construction,,carreau concept,construction,,0
mailup,technology,,mailtrack,technology,,0
mogo finance,financial services,,mogo,"['financial services', 'bitcoin']",,0
accedia jsc,technology,,accedia,technology,,0
accedia jsc,technology,,accedia,technology,,0
nwg energia s.p.a società benefit,energy,,nwg energia,energy,,0
workable technology,technology,,workable software,technology,,0
maxpay holding,fintech,,maxpay,fintech,,0
join business management consulting,management consulting,,join business,management consulting,,0
saras spa,manufacturing,milano,saras s.p.a.,,milan,0
unicredit spa,"finance, insurance, and real estate",milano,unicredit s.p.a.,,milan,0
unipolsai assicurazioni spa,"finance, insurance, and real estate",bologna,unipolsai assicurazioni s.p.a.,,bologna,0
hera spa,"transportation, communications, electric, gas, and sanitary services",bologna,hera s.p.a.,,bologna,0
edison spa,"finance, insurance, and real estate",milano,edison s.p.a.,,milan,0
prysmian spa,wholesale trade,milano,prysmian s.p.a.,,milan,0
leonardo spa,manufacturing,roma,leonardo s.p.a.,,rome,0
poste vita spa,"finance, insurance, and real estate",roma,poste italiane spa,,rome,0
poste vita spa,"finance, insurance, and real estate",roma,poste italiane spa,"transportation, communications, electric, gas, and sanitary services",roma,0
gestore dei servizi energetici - gse spa,"transportation, communications, electric, gas, and sanitary services",roma,gestore dei mercati energetici spa,"transportation, communications, electric, gas, and sanitary services",roma,0
eni spa,manufacturing,roma,eni s.p.a.,,rome,0
webuild spa,construction,milano,webuild s.p.a.,,milan,0
hera trading srl,"transportation, communications, electric, gas, and sanitary services",bologna,hera spa,"transportation, communications, electric, gas, and sanitary services",bologna,0
fincantieri spa,manufacturing,trieste,fincantieri s.p.a.,,trieste,0
acea spa,"transportation, communications, electric, gas, and sanitary services",roma,acea s.p.a.,,rome,0
pirelli tyre spa,manufacturing,milano,pirelli & c. spa,"finance, insurance, and real estate",milano,0
trasporti internazionali agenzia marittima savino del bene spa,"transportation, communications, electric, gas, and sanitary services",firenze,trasporti cantisani di cantisani & c,transport,,0
luxottica group spa,wholesale trade,milano,luxottica careers,"apparel, fashion & luxury",milan,0
nuovo pignone international srl,manufacturing,firenze,nuovo pignone holding spa,"finance, insurance, and real estate",firenze,0
banca monte dei paschi di siena spa,"finance, insurance, and real estate",siena,banca monte dei paschi di siena s.p.a.,,siena,0
bper banca spa,"finance, insurance, and real estate",modena,bper banca s.p.a.,,modena,0
maire tecnimont spa,"finance, insurance, and real estate",milano,maire tecnimont s.p.a.,,milan,0
moncler spa,"finance, insurance, and real estate",milano,moncler s.p.a.,,milan,0
recordati industria chimica e farmaceutica spa,manufacturing,milano,recordati industria chimica e farmaceutica s.p.a.,,milan,0
caltagirone spa,"finance, insurance, and real estate",roma,caltagirone editore spa,,rome,0
alpiq italia srl,"transportation, communications, electric, gas, and sanitary services",milano,alpiq energia italia spa,"transportation, communications, electric, gas, and sanitary services",milano,0
decathlon italia srl,retail trade,monza e brianza,decathlon france careers,retail,hauts-de-france,0
finanziaria dei dogi srl,"finance, insurance, and real estate",roma,finanziaria d'investimento fininvest spa,"finance, insurance, and real estate",milano,0
cassa di compensazione e garanzia spa,"finance, insurance, and real estate",roma,cassa depositi e prestiti spa,"finance, insurance, and real estate",roma,0
alperia trading srl,"transportation, communications, electric, gas, and sanitary services",bolzano,alperia smart services srl,"transportation, communications, electric, gas, and sanitary services",bolzano,0
sogefi spa,"finance, insurance, and real estate",milano,sogefi s.p.a.,,milan,0
postepay spa,"finance, insurance, and real estate",roma,poste vita spa,"finance, insurance, and real estate",roma,0
acciaierie valbruna spa,manufacturing,vicenza,acciaierie d'italia spa,manufacturing,milano,0
erg spa,"finance, insurance, and real estate",genova,erg s.p.a.,,genoa,0
astaris spa,construction,roma,astaldi s.p.a.,,rome,0
eurospin tirrenica spa,retail trade,perugia,eurospin lazio spa,retail trade,latina,0
telecom italia sparkle spa,"transportation, communications, electric, gas, and sanitary services",roma,telecom italia spa,"transportation, communications, electric, gas, and sanitary services",milano,0
credito emiliano spa,"finance, insurance, and real estate",reggio emilia,credito emiliano s.p.a.,,reggio emilia,0
ferrovial construcción s.a.,construction,milano,ferrovial,"['construction', 'infrastructure']",,0
banca popolare di sondrio spa,"finance, insurance, and real estate",sondrio,banca popolare di sondrio s.c.p.a.,,sondrio,0
gruppo ltc spa,"finance, insurance, and real estate",vicenza,gruppo lactalis italia srl,"finance, insurance, and real estate",milano,0
banco bpm vita spa,"finance, insurance, and real estate",milano,banco bpm spa,"finance, insurance, and real estate",verona,0
biesse spa,manufacturing,pesaro e urbino,biesse s.p.a.,,pesaro,0
dolce & gabbana srl,manufacturing,milano,dolce & gabbana holding srl,"finance, insurance, and real estate",milano,0
acegasapsamga spa,"transportation, communications, electric, gas, and sanitary services",trieste,acea spa,"transportation, communications, electric, gas, and sanitary services",roma,0
farvima medicinali spa,wholesale trade,napoli,farvima holding srl,"finance, insurance, and real estate",napoli,0
banca generali spa,"finance, insurance, and real estate",trieste,banca generali s.p.a.,,trieste,0
ferrero industriale italia srl,manufacturing,cuneo,ferrero commerciale italia srl,wholesale trade,cuneo,0
guala closures spa,manufacturing,alessandria,guala closures s.p.a.,,alessandria,0
fercam spa,"transportation, communications, electric, gas, and sanitary services",bolzano,fercam holding srl,"finance, insurance, and real estate",bolzano,0
zambon spa,manufacturing,milano,zambon company spa,"finance, insurance, and real estate",milano,0
comer industries spa,manufacturing,reggio emilia,comer industries s.p.a.,,reggiolo,0
duferco travi e profilati spa,manufacturing,brescia,duferco italia holding spa,"finance, insurance, and real estate",brescia,0
f.lli lando spa,retail trade,venezia,f.lli denaro*,retail,,0
salvatore ferragamo spa,manufacturing,firenze,salvatore ferragamo s.p.a.,,florence,0
fnm spa,"transportation, communications, electric, gas, and sanitary services",milano,fnm s.p.a.,,milan,0
falck renewables spa,"finance, insurance, and real estate",milano,falck renewables s.p.a.,,milan,0
intesa sanpaolo rbm salute spa,"finance, insurance, and real estate",milano,intesa sanpaolo assicura spa,"finance, insurance, and real estate",torino,0
texas capital bancshares inc,financial services,,texas capital bancshares,"['financial services', 'banks']",,0
owl rock capital corp,financial services,,owl rock capital,['financial services'],,0
enova international inc,financial services,,enova international,['financial services'],,0
aenza saa,construction,,aenza,"['construction', 'engineering']",,0
abiomed inc,medical equipment,,abiomed careers,medical device,danvers,0
unionbank of the philippines,financial services,,unionbank,financials,,0
ocwen financial corp,financial services,,ocwen,['financial services'],,0
hanmi pharmaceuticals co ltd,pharmaceuticals and healthcare,,hanmi pharmaceutical,['pharmaceuticals'],,0
the container store group inc,retailing,,the container store,['retail'],,0
pra group inc,financial services,,pra group,['financial services'],,0
lendingtree inc,financial services,,lendingtree,"['financial services', 'internet', 'tech']",,0
alior bank sa,financial services,,alior bank,financials,,0
aditya birla fashion and retail ltd,retailing,,aditya birla fashion and retail,retail,,0
jsw energy ltd,power,,jsw energy,power,,0
villeroy & boch ag,consumer packaged goods,,villeroy & boch,consumer goods,,0
godrej agrovet ltd,agriculture and forestry,,godrej agrovet,agriculture,,0
china banking corp,financial services,,china bank,financial services,,0
novavax inc,pharmaceuticals and healthcare,,novavax,"['pharmaceuticals', 'biotech']",,0
ll flooring holdings inc,retailing,,ll flooring,['retail'],,0
torrent pharmaceuticals ltd,pharmaceuticals and healthcare,,torrent pharmaceuticals,pharma,,0
hrvatski telekom dd,technology and communications,,hrvatski telekom,telecommunications,,0
envestnet inc,financial services,,envestnet asset management,financial services,,0
bank ozk,financial services,,bank of åland,financials,,0
allianz malaysia berhad,financial services,,allianz global investors gmbh,"finance, insurance, and real estate",milano,0
siegfried holding ag,pharmaceuticals and healthcare,,siegfried holding,"['pharmaceuticals', 'biotech']",,0
indiabulls housing finance ltd,financial services,,indiabulls housing finance,['financial services'],,0
audacy inc,media,,audacy,['media/press'],,0
nippon shinyaku co ltd,pharmaceuticals and healthcare,,nippon shinyaku,"['pharmaceuticals', 'biotech']",,0
walker & dunlop inc,financial services,,walker & dunlop,['financial services'],,0
moneygram international inc,financial services,,moneygram,['financial services'],,0
construction partners inc,construction,,construction partners,"['construction', 'infrastructure']",,0
koenig & bauer ag,industrial goods and machinery,,koenig & bauer,industrials,,0
dorman products inc,automotive,,dorman products,['automotive suppliers'],,0
tokmanni group oyj,retailing,,tokmanni,['retail'],,0
superior industries international inc,automotive,,superior industries international,['automotive suppliers'],,0
aareal bank ag,financial services,,aareal bank,financials,,0
eicher motors ltd,automotive,,eicher motors,automobile,,0
karelia tobacco co inc,consumer packaged goods,,karelia fine tobaccos,consumer goods,,0
encore capital group inc,financial services,,encore capital group,['financial services'],,0
banca popolare di sondrio,financial services,,banca popolare di milano,financials,,0
mativ holdings inc,paper and packaging,,mativ holdings,"['pulp and paper', 'packaging']",,0
alkem laboratories ltd,pharmaceuticals and healthcare,,alkem laboratories,pharma,,0
alkem laboratories ltd,pharmaceuticals and healthcare,,alkem laboratories,"['pharmaceuticals', 'biotech']",,0
banca transilvania sa,financial services,,banca transilvania,financials,,0
yuhan corp,pharmaceuticals and healthcare,,yuhan,"['pharmaceuticals', 'biotech', 'chemicals']",,0
sanoma corp,media,,sanoma,['media/press'],,0
fiskars corp,consumer packaged goods,,fiskars,consumer goods,,0
varian medical systems inc,medical equipment,,varian medical systems,medical equipment,,0
seagen inc,pharmaceuticals and healthcare,,seagen,"['pharmaceuticals', 'biotech']",,0
celltrion healthcare co ltd,pharmaceuticals and healthcare,,celltrion,['pharmaceuticals'],,0
mphasis ltd,technology and communications,,mphasis,technology,,1
accell group n.v.,consumer packaged goods,,accell group,consumer goods,,0
data#3 ltd,technology and communications,,data section,technology,,0
glenmark pharmaceuticals ltd,pharmaceuticals and healthcare,,glenmark pharmaceuticals,pharma,,0
glenmark pharmaceuticals ltd,pharmaceuticals and healthcare,,glenmark pharmaceuticals,['pharmaceuticals'],,0
celltrion inc,pharmaceuticals and healthcare,,celltrion healthcare co ltd,pharmaceuticals and healthcare,,0
koppers holdings inc,chemicals,,koppers,['chemicals'],,0
advansix inc,chemicals,,advansix,['chemicals'],,0
cesc ltd,power,,cesc,power,,0
c&c group plc,consumer packaged goods,,c&c group,consumer goods,,0
bank muscat,financial services,,bank millennium sa,financial services,,0
emergent biosolutions inc,pharmaceuticals and healthcare,,emergent biosolutions,"['pharmaceuticals', 'biotech']",,0
play communications s.a.,technology and communications,,play,telecommunications,,0
wex inc,financial services,,wex careers,financial services,portland,0
kec international ltd,construction,,kec international,['construction'],,0
taikisha ltd,industrial goods and machinery,,taikisha engineering india,industrial machinery,,0
navient corp,financial services,,navient careers,financial services,wilmington,0
o2 czech republic as,technology and communications,,o2 czech republic,telecommunications,,0
intas pharmaceuticals ltd,pharmaceuticals and healthcare,,intas pharmaceuticals,pharma,,0
bank audi sal,financial services,,bank aljazira,financial services,,0
intercorp financial services inc,financial services,,intercorp financial services,"['financial services', 'insurance']",,0
deutsche pfandbriefbank ag,financial services,,deutsche pfandbriefbank,financials,,0
sei investments co,financial services,,sei investments,['financial services'],,0
wh smith plc,retailing,,wh smith,['retail'],,0
torrent power ltd,power,,torrent power,power,,0
valio ltd,consumer packaged goods,,valio,consumer goods,,0
rain industries ltd,chemicals,,rain industries,['chemicals'],,0
kalpataru power transmission ltd,power,,kalpataru power transmission,power,,0
kennametal inc,industrial goods and machinery,,kennametal,industrial machinery,,0
bgc partners inc,financial services,,bgc partners,['financial services'],,0
msci inc,financial services,,msci,financial services,,0
msci inc,financial services,,msci,['financial services'],,0
budimex sa,construction,,budimex,"['construction', 'infrastructure']",,0
agfa-gevaert nv,technology and communications,,agfa-gevaert,technology,,0
amneal pharmaceuticals inc,pharmaceuticals and healthcare,,amneal pharmaceuticals,pharma,,0
amneal pharmaceuticals inc,pharmaceuticals and healthcare,,amneal pharmaceuticals,"['pharmaceuticals', 'biotech']",,0
ses sa,technology and communications,,ses s.a.,telecommunications,,0
bank of maharashtra,financial services,,bank of latvia,financials,,0
accton technology corp,technology and communications,,accton,technology,,0
hkscan corp,consumer packaged goods,,hkscan,consumer goods,,0
swedish match ab,consumer packaged goods,,swedish match,consumer goods,,0
party city holdco inc,retailing,,party city,['retail'],,0
banque saudi fransi,financial services,,banque raiffeisen,financials,,0
dunelm group plc,retailing,,dunelm group,['retail'],,0
ci financial corp,financial services,,ci financial,['financial services'],,0
palfinger ag,industrial goods and machinery,,palfinger,industrials,,0
wacker neuson se,industrial goods and machinery,,wacker neuson,industrials,,0
skyline champion corp,construction,,skyline champion,['construction'],,0
venator materials plc,chemicals,,venator materials,['chemicals'],,0
mallinckrodt plc,pharmaceuticals and healthcare,,mallinckrodt pharmaceuticals careers,pharmaceuticals,dublin,0
lupin ltd,pharmaceuticals and healthcare,,lupin limited,"['pharmaceuticals', 'biotech']",,0
helen of troy ltd,consumer packaged goods,,helen of troy,['consumer goods'],,0
criteo sa,technology and communications,,criteo,technology,,0
magyar telekom plc,technology and communications,,magyar telekom,telecommunications,,0
beazer homes usa inc,construction,,beazer homes usa,['construction'],,0
acom co ltd,financial services,,acom,['financial services'],,0
santen pharmaceutical co ltd,pharmaceuticals and healthcare,,santen pharmaceutical,['pharmaceuticals'],,0
hyundai card co ltd,financial services,,hyundai capital america careers,financial services,irvine,0
gray television inc,media,,gray television,['media/press'],,0
sabic agri-nutrients co,chemicals,,sabic,chemicals,,0
sabic agri-nutrients co,chemicals,,sabic,['chemicals'],,0
croda international plc,chemicals,,croda international,['chemicals'],,0
bonduelle sca,consumer packaged goods,,bonduelle,consumer goods,,0
ratos ab,financial services,,ratos,financials,,0
lic housing finance ltd,financial services,,lic housing finance,['financial services'],,0
national bank of greece sa,financial services,,national bank of greece,financials,,0
boohoo group plc,retailing,,boohoo group,retail,,0
virtu financial inc,financial services,,virtu financial,['financial services'],,0
bankinter sa,financial services,,bankinter,financials,,0
northern trust wealth management,financial services,,northern trust operating services,financial services,,0
ebro foods sa,consumer packaged goods,,ebro foods,consumer goods,,0
hovnanian enterprises inc,construction,,hovnanian enterprises,['construction'],,0
redrow plc,construction,,redrow,['construction'],,0
cipla ltd,pharmaceuticals and healthcare,,cipla industries,pharma,,0
transunion llc,financial services,,transunion,financial services,,0
transunion llc,financial services,,transunion,['financial services'],,0
shionogi & co ltd,pharmaceuticals and healthcare,,shionogi,['pharmaceuticals'],,0
aditya birla capital ltd,financial services,,aditya birla capital,financial services,,0
endo international plc,pharmaceuticals and healthcare,,endo international,"['pharmaceuticals', 'biotech']",,0
lgi homes inc,construction,,lgi homes,['construction'],,0
telenet group holding nv,technology and communications,,telenet,telecommunications,,0
asbisc enterprises plc,technology and communications,,asbis,technology,,0
amc networks inc,media,,amc networks,['media/press'],,0
orange polska sa,technology and communications,,orange polska,telecommunications,,0
eurobank ergasias services and holdings sa,financial services,,eurobank ergasias,financials,,0
tele2 ab,technology and communications,,tele2,telecommunications,,0
kyowa kirin co ltd,pharmaceuticals and healthcare,,kyowa kirin,"['pharmaceuticals', 'biotech']",,0
amadeus it group sa,technology and communications,,amadeus it group,technology,,0
aurobindo pharma ltd,pharmaceuticals and healthcare,,aurobindo pharma,pharma,,0
graham holdings co,media,,graham holdings,['media/press'],,0
gannett co inc,media,,gannett,['media/press'],,0
ono pharmaceutical co ltd,pharmaceuticals and healthcare,,ono pharmaceutical,['pharmaceuticals'],,0
horizon therapeutics plc,pharmaceuticals and healthcare,,horizon therapeutics,['pharmaceuticals'],,0
vistry group plc,construction,,vistry group,['construction'],,0
tvs motor co ltd,automotive,,tvs motor,automobile,,0
hugo boss ag,consumer packaged goods,,hugo boss,consumer goods,,0
mr cooper group inc,financial services,,mr cooper,financial services,,0
puregold price club inc,retailing,,puregold price club,retail,,0
albemarle corp,chemicals,,albemarle,['chemicals'],,0
ferrovial construction,construction,,ferrovial construcción s.a.,construction,milano,0
red hat inc,technology and communications,,red hat czech,technology,,0
yit corp,construction,,yit,['construction'],,0
sulzer ltd,industrial goods and machinery,,sulzer,industrial machinery,,0
construcciones y auxiliar de ferrocarriles sa,industrial goods and machinery,,construcciones y auxiliar de ferrocarriles (caf),industrials,,0
central bank of india,financial services,,central bank of cyprus,financials,,0
nmdc ltd,metals and mining,,nmdc,metals & mining,,0
aalberts industries nv,industrial goods and machinery,,aalberts,industrials,,0
jyske bank a/s,financial services,,jyske bank,financials,,0
flowserve corp,industrial goods and machinery,,flowserve,industrial machinery,,0
ashok leyland ltd,automotive,,ashok leyland,automobile,,0
iheartmedia inc,media,,iheartmedia,['media/press'],,0
mayr-melnhof karton ag,paper and packaging,,mayr-melnhof,"['pulp and paper', 'packaging']",,0
kansai paint co ltd,chemicals,,kansai paint,"['chemicals', 'paint & coating']",,0
m/i homes inc,construction,,m/i homes,['construction'],,0
adani power ltd,power,,adani power,power,,0
konecranes plc,industrial goods and machinery,,konecranes,industrial machinery,,0
konecranes plc,industrial goods and machinery,,konecranes,industrials,,0
elkem asa,chemicals,,elkem,['chemicals'],,0
cie automotive sa,automotive,,cie automotive,['automotive suppliers'],,0
kuka ag,industrial goods and machinery,,kuka,industrials,,0
terex corp,industrial goods and machinery,,terex,industrial machinery,,0
national bank of kuwait,financial services,,national bank of greece sa,financial services,,0
matson inc,transport and logistics,,matson careers,"transportation, trucking & rail",honolulu,0
bel sa,consumer packaged goods,,bel group,consumer goods,,0
asian paints ltd,chemicals,,asian paints,chemicals,,0
tri pointe homes inc,construction,,tri pointe group,['construction'],,1
hindustan zinc ltd,metals and mining,,hindustan zinc,metals & mining,,0
mediobanca - banca di credito finanziario spa,financial services,,mediobanca,financials,,0
hero motocorp ltd,automotive,,hero motocorp,automobile,,0
jiangsu hengrui medicine co ltd,pharmaceuticals and healthcare,,jiangsu hengrui medicine,"['pharmaceuticals', 'biotech']",,0
bdo unibank inc,financial services,,bdo unibank,financial services,,0
galenica ag,pharmaceuticals and healthcare,,galenica,"['pharmaceuticals', 'biotech']",,0
century communities inc,construction,,century communities,['construction'],,0
voya financial inc,financial services,,voya financial careers,financial services,new york,0
bajaj finance ltd,financial services,,bajaj finance,['financial services'],,0
krones ag,industrial goods and machinery,,krones,industrials,,0
investec plc,financial services,,investec ltd,financial services,,0
clariant international ltd,chemicals,,clariant chemicals,chemicals,,0
veidekke asa,construction,,veidekke,['construction'],,0
axalta coating systems ltd,chemicals,,axalta coating systems,chemicals,,0
bajaj auto ltd,automotive,,bajaj auto,automobile,,0
vietnam joint stock commercial bank for industry and trade,financial services,,vietnam international commercial joint stock bank,financial services,,0
epiroc ab,industrial goods and machinery,,epiroc,industrial machinery,,0
tutor perini corp,construction,,tutor perini,['construction'],,0
jackson national life insurance co,financial services,,jackson financial,"['financial services', 'asset management', 'insurance']",,0
alfa laval ab,industrial goods and machinery,,alfa laval,industrial machinery,,0
alfa laval ab,industrial goods and machinery,,alfa laval,industrials,,0
glanbia plc,consumer packaged goods,,glanbia,consumer goods,,0
t-systems international gmbh,technology and communications,,t-systems,technology,,0
atea asa,technology and communications,,ate system,technology,,0
adama ltd,chemicals,,adama,agro chemicals,,0
bellway plc,construction,,bellway,['construction'],,0
metso outotec corp,industrial goods and machinery,,metso outotec,industrial machinery,,0
voith gmbh & co kgaa,industrial goods and machinery,,voith,industrial machinery,,0
voith gmbh & co kgaa,industrial goods and machinery,,voith,industrials,,0
fmc corp,chemicals,,fmc,agro chemicals,,0
fmc corp,chemicals,,fmc,['chemicals'],,0
meritage homes corporation,construction,,meritage homes,"['construction', 'real estate']",,0
ingersoll rand inc,industrial goods and machinery,,ingersoll rand,industrial machinery,,0
imerys sa,metals and mining,,imerys,metals & mining,,0
church & dwight co inc,consumer packaged goods,,church & dwight,['consumer goods'],,0
smith & nephew plc,medical equipment,,smith & nephew healthcare,medical equipment,,0
sun pharmaceutical industries ltd,pharmaceuticals and healthcare,,sun pharmaceutical industries,pharma,,0
harley-davidson inc,automotive,,harley-davidson,automobile,,0
banco de bogota sa,financial services,,banco davivienda sa,financial services,,0
icon plc,pharmaceuticals and healthcare,,icon outsourcing*,pharmaceuticals,,0
joint stock commercial bank for investment and development of vietnam,financial services,,joint stock commercial bank for foreign trade of vietnam,financial services,,0
telekom austria ag,technology and communications,,telekom austria,telecommunications,,0
sacyr sa,construction,,sacyr construccion s.a.,construction,torino,0
sopra steria group,technology and communications,,sopra steria,technology,,0
gea group ag,industrial goods and machinery,,gea group,industrials,,0
power grid corporation of india ltd,power,,power grid corporation of india,power,,0
via sa,retailing,,via s.a.,['retail'],,0
sembcorp industries ltd,power,,sembcorp energy india,power,,0
otp bank nyrt,financial services,,otp bank,financials,,0
porr ag,construction,,porr,['construction'],,0
kaneka corp,chemicals,,kanebo,cosmetics,,0
lawson inc,retailing,,lawson,['retail'],,0
ncc ab,construction,,ncc,['construction'],,0
bechtle ag,technology and communications,,bechtle,technology,,0
travis perkins plc,retailing,,travis perkins,"['retail', 'building materials']",,0
chemours co,chemicals,,chemours,['chemicals'],,0
northern trust corp,financial services,,northern trust,['financial services'],,0
dubai electricity and water authority,power,,dubai electricity & water authority (dewa),power,,0
fanuc corp,industrial goods and machinery,,fanuc,industrial machinery,,0
proximus plc,technology and communications,,proximus group,telecommunications,,0
regions financial corp,financial services,,regions financial,['financial services'],,0
united internet ag,technology and communications,,united internet,telecommunications,,0
cosmos pharmaceutical corp,retailing,,cosmos pharmaceutical,['retail'],,0
eisai co ltd,pharmaceuticals and healthcare,,eisai,['pharmaceuticals'],,0
peab ab,construction,,peab,"['construction', 'engineering']",,0
hornbach holding ag & co kgaa,retailing,,hornbach holding,['retail'],,0
citizens financial group inc,financial services,,citizens financial group,"['financial services', 'banks']",,0
swedbank ab,financial services,,swedbank (föreningssparbanken),financials,,0
guotai junan securities co ltd,financial services,,guotai junan securities,"['financial services', 'banks', 'investment']",,0
"brighthouse financial, inc.",financial services,,brighthouse financial,"['financial services', 'insurance']",,0
first quantum minerals ltd,metals and mining,,first quantum minerals,metals & mining,,0
banco bilbao vizcaya argentaria colombia sa,financial services,,banco bilbao vizcaya argentaria (bbva),financials,,0
vertex pharmaceuticals inc,pharmaceuticals and healthcare,,vertex pharmaceuticals,"['pharmaceuticals', 'biotech']",,0
andritz ag,industrial goods and machinery,,andritz,industrial machinery,,0
andritz ag,industrial goods and machinery,,andritz,industrials,,0
nsk ltd,industrial goods and machinery,,nsk,industrial machinery,,0
rockwell automation inc,industrial goods and machinery,,rockwell automation,industrial automation,,0
zoetis inc,pharmaceuticals and healthcare,,zoetis,"['pharmaceuticals', 'biotech']",,0
veon ltd,technology and communications,,veon,telecommunications,,0
bed bath & beyond inc,retailing,,bed bath & beyond,['retail'],,0
fomento de construcciones y contratas sa,construction,,fomento de construcciones y contratas,['construction'],,0
bath & body works inc,retailing,,bath & body works,['retail'],,0
ferrovial sa,construction,,ferrovial construction,construction,,0
fuji electric co ltd,industrial goods and machinery,,fuji electric,industrial machinery,,0
dnb asa,financial services,,dnb,['financial services'],,0
autoliv inc,automotive,,autoliv,['automotive suppliers'],,0
s&p global inc,financial services,,s&p global,['financial services'],,0
benteler international ag,automotive,,benteler automotive,automobile,,0
chugai pharmaceutical co ltd,pharmaceuticals and healthcare,,chugai pharmaceutical,"['pharmaceuticals', 'biotech']",,0
foot locker inc,retailing,,foot locker careers,retail,new york,0
willis towers watson plc,financial services,,willis towers watson,financial services,,0
beiersdorf ag,consumer packaged goods,,beiersdorf,consumer goods,,0
telefonica deutschland holding ag,technology and communications,,telefonica brasil sa,technology and communications,,0
bajaj finserv ltd,financial services,,bajaj finserv,['financial services'],,0
acciona sa,industrial goods and machinery,,acciona,industrials,,0
formosa plastics corp,chemicals,,formosa plastics,['chemicals'],,0
sandvik ab,industrial goods and machinery,,sandvik,industrials,,0
sika ag,chemicals,,sika,chemicals,,0
sika ag,chemicals,,sika,['chemicals'],,0
pzu sa,financial services,,pzu,financials,,1
ally financial inc,financial services,,ally financial careers,financial services,detroit,0
biogen inc,pharmaceuticals and healthcare,,biogen,"['pharmaceuticals', 'biotech']",,0
arkema sa,chemicals,,arkema,['chemicals'],,0
astellas pharma inc,pharmaceuticals and healthcare,,astellas pharma,"['pharmaceuticals', 'biotech']",,0
vedanta resources ltd,metals and mining,,vedanta resources,metals & mining,,0
kone corporation,industrial goods and machinery,,kone,industrials,,0
mahle gmbh,automotive,,mahle engine components,automobile,,0
mahle gmbh,automotive,,mahle engine components,automobile,,0
vienna insurance group ag,financial services,,vienna insurance group,financials,,0
air products and chemicals inc,chemicals,,air products and chemicals,['chemicals'],,0
tractor supply co,retailing,,tractor supply,['retail'],,0
atlas copco ab,industrial goods and machinery,,atlas copco,industrial machinery,,0
atlas copco ab,industrial goods and machinery,,atlas copco,industrials,,0
arla foods amba,consumer packaged goods,,arla foods,consumer goods,,0
otsuka holdings co ltd,pharmaceuticals and healthcare,,otsuka holdings,"['pharmaceuticals', 'biotech']",,0
ameriprise financial inc,financial services,,ameriprise financial,financial services,,0
ameriprise financial inc,financial services,,ameriprise financial,['financial services'],,0
storebrand asa,financial services,,storebrand,['financial services'],,0
turkiye halk bankasi as,financial services,,turkiye garanti bankası anonim sirketi,financial services,,0
fidelity national information services inc,financial services,,fidelity national information services,"['financial services', 'tech']",,0
qurate retail inc,retailing,,qurate retail group,['retail'],,0
adient plc,automotive,,adient,['automotive suppliers'],,0
nan ya plastics corp,chemicals,,nan ya plastics,['chemicals'],,0
coal india ltd,metals and mining,,coal india,metals & mining,,0
borgwarner inc,automotive,,borgwarner emission system,automobile,,0
commerzbank ag,financial services,,commerzbank,financials,,0
cencosud sa,retailing,,cencosud,['retail'],,0
stanley black & decker inc,industrial goods and machinery,,stanley black & decker,industrial machinery,,0
pakistan state oil co ltd,energy and utilities,,pakistan petroleum ltd,energy and utilities,,0
fidelity national financial inc,financial services,,fidelity national financial careers,financial services,jacksonville,0
synchrony financial,financial services,,synchrony,financial services,,0
ternium sa,metals and mining,,ternium argentina sa,metals and mining,,0
yamaha motor co ltd,automotive,,yamaha motor,automobile,,0
cathay financial holding co ltd,financial services,,cathay financial holding,"['financial services', 'banks', 'insurance']",,0
dupont de nemours inc,chemicals,,dupont de nemours,['chemicals'],,0
infineon technologies ag,technology and communications,,infineon technologies,technology,,0
ppg industries inc,chemicals,,ppg industries,"['chemicals', 'paint & coating']",,0
bechtel corp,construction,,bechtel careers,construction,reston,0
evonik industries ag,chemicals,,evonik industries,['chemicals'],,0
viatris inc,pharmaceuticals and healthcare,,viatris,pharma,,0
vedanta ltd,metals and mining,,vedanta limited,metals & mining,,0
tenneco inc,automotive,,tenneco,['automotive suppliers'],,0
housing development finance corporation ltd,financial services,,housing development finance corporation,"['financial services', 'banks']",,0
shin-etsu chemical co ltd,chemicals,,shin-etsu chemical,['chemicals'],,0
kajima corp,construction,,kajima,['construction'],,0
covestro ag,chemicals,,covestro,chemicals / agri inputs,,0
becton dickinson and co,medical equipment,,becton dickinson,medical equipment,,0
mastercard inc,financial services,,mastercard,['financial services'],,0
banco santander (brasil) sa,financial services,,banco santander,financials,,0
kohl's corp,retailing,,kohl's,['retail'],,0
medline industries inc,medical equipment,,medline industries,medical equipment,,0
suntory holdings ltd,consumer packaged goods,,suntory beverage & food ltd,consumer packaged goods,,0
